Date,10YYSS
3/29/2017,2.391
3/28/2017,2.788
3/27/2017,3.29
3/24/2017,0.624
3/23/2017,2.032
3/22/2017,2.756
3/21/2017,3.782
3/20/2017,4.616
3/17/2017,2.99
3/16/2017,4.211
3/15/2017,3.929
3/14/2017,2.983
3/13/2017,3.377
3/10/2017,3.243
3/9/2017,4.073
3/8/2017,5.049
3/7/2017,5.41
3/6/2017,4.053
3/3/2017,2.155
3/2/2017,3.277
3/1/2017,4.109
2/28/2017,2.489
2/27/2017,2.578
2/24/2017,2.961
2/23/2017,2.609
2/22/2017,2.543
2/21/2017,2.031
2/20/2017,4.927
2/17/2017,4.927
2/16/2017,6.067
2/15/2017,6.756
2/14/2017,6.793
2/13/2017,6.649
2/10/2017,7.058
2/9/2017,10.091
2/8/2017,9.66
2/7/2017,7.903
2/6/2017,7.838
2/3/2017,9.111
2/2/2017,10.167
2/1/2017,9.815
1/31/2017,10.578
1/30/2017,10.362
1/27/2017,9.709
1/26/2017,10.2
1/25/2017,10.68
1/24/2017,11.604
1/23/2017,10.7
1/20/2017,10.882
1/19/2017,9.661
1/18/2017,12.846
1/17/2017,12.706
1/16/2017,12.438
1/13/2017,12.438
1/12/2017,13.161
1/11/2017,12.796
1/10/2017,13.591
1/9/2017,13.326
1/6/2017,13.056
1/5/2017,14.71
1/4/2017,15.823
1/3/2017,14.606
1/2/2017,11.816
12/30/2016,11.816
12/29/2016,11.114
12/28/2016,11.05
12/27/2016,11.423
12/26/2016,10.647
12/23/2016,10.647
12/22/2016,10.763
12/21/2016,10.651
12/20/2016,10.243
12/19/2016,9.918
12/16/2016,10.295
12/15/2016,9.845
12/14/2016,13.791
12/13/2016,14.55
12/12/2016,13.798
12/9/2016,13.148
12/8/2016,14.602
12/7/2016,15.973
12/6/2016,15.185
12/5/2016,15.712
12/2/2016,16.121
12/1/2016,16.713
11/30/2016,17.348
11/29/2016,17.326
11/28/2016,17.126
11/25/2016,17.293
11/24/2016,18.545
11/23/2016,18.545
11/22/2016,17.291
11/21/2016,16.473
11/18/2016,14.876
11/17/2016,15.6
11/16/2016,14.311
11/15/2016,13.951
11/14/2016,8.741
11/11/2016,9.645
11/10/2016,9.645
11/9/2016,15.787
11/8/2016,15.436
11/7/2016,14.892
11/4/2016,15.215
11/3/2016,15.491
11/2/2016,15.082
11/1/2016,15.329
10/31/2016,16.134
10/28/2016,15.297
10/27/2016,15.538
10/26/2016,15.985
10/25/2016,16.798
10/24/2016,17.361
10/21/2016,15.796
10/20/2016,17.267
10/19/2016,17.837
10/18/2016,17.566
10/17/2016,17.794
10/14/2016,17.658
10/13/2016,17.37
10/12/2016,17.185
10/11/2016,16.754
10/10/2016,17.24
10/7/2016,17.24
10/6/2016,16.218
10/5/2016,16.134
10/4/2016,15.671
10/3/2016,15.129
9/30/2016,14.739
9/29/2016,15.195
9/28/2016,15.654
9/27/2016,15.44
9/26/2016,16.358
9/23/2016,16.201
9/22/2016,16.381
9/21/2016,16.724
9/20/2016,16.165
9/19/2016,17.204
9/16/2016,17.148
9/15/2016,17.517
9/14/2016,17.397
9/13/2016,17.076
9/12/2016,15.696
9/9/2016,15.672
9/8/2016,15.984
9/7/2016,15.2
9/6/2016,15.068
9/5/2016,14.284
9/2/2016,14.284
9/1/2016,13.227
8/31/2016,13.456
8/30/2016,13.937
8/29/2016,14.524
8/26/2016,13.748
8/25/2016,14.002
8/24/2016,15.45
8/23/2016,14.95
8/22/2016,14.334
8/19/2016,13.637
8/18/2016,12.535
8/17/2016,13.744
8/16/2016,13.769
8/15/2016,12.414
8/12/2016,11.504
8/11/2016,11.748
8/10/2016,12.224
8/9/2016,12.038
